,Topic_Num,Topic_Perc_Contrib,Keywords,Representative Text
0,0.0,0.9743,"language, never, words, pain, information, idaho, im, question, think, part",words confirmed students asked said im idaho phrase many times ive repeat years never felt comfortable mouth part place growing moment soil theres never need say youre never uttered words im idaho id left
1,1.0,0.9833,"would, could, knew, believed, break, believe, language, words, time, real",crucial look long kept eyes spire almost believed couldnt touch almost even clung belief waited feel hands neck knew would feel soon didnt dare anything might break spell waiting moment part believed always believed would broke spell cause break stillness chattered fury rushed would know something done catalyst cause hope superstition illusion control
2,2.0,0.98,"way, another, time, people, us, would, different, language, someone, change",people incredibly similar different time basic structure mind emotions distinct mental conditioning two people experienced exact life twists turns reactions felt things understood misunderstood come believe perceive world maze patterns impact behavior different magnitudes trauma—you go see individual inner world unique emotional history
3,3.0,0.9873,"didnt, shape, would, like, us, mind, moment, made, never, kept",school kind respectful ms pierce made us act like loving family back building pretended couldnt stand another none us really knew actual affection felt seemed like flaw emotions didnt know practice burying emotions created adults whod struggle build meaningful relationships us would eventually completely forget access true feelings family expressed love many ways reaching touch arm sad moment smothering another hug knew even young age behavior rarely meant people outdoors
4,4.0,0.9816,"words, relationships, people, part, language, everything, earth, book, support, emotional",three thoughts relationships normally start two people wanting treat well harm caused someone know properly manage reactions emotions think emotions words actions resemble mental turbulence relationships important understand person fix emotional problems best support uncover process emotional history thing perfect relatioship incredible relationships mutual connection support indescribably profound
5,5.0,0.9823,"im, better, think, words, like, take, obvious, lazy, name, past",im crying pain told pain wrist anything else moment would define memory night many nights like decade saw unbreakable tender stone first merely believed day became truth able tell without lying didnt affect didnt affect nothing affected didnt understand morbidly right hollowed obsessing consequences night misunderstood vital truth affecting effect
6,6.0,0.9824,"would, see, talk, powerful, understand, home, first, angry, didnt, sometimes",read weeks met wasnt first piece read honest trauma yes ok consuming handed work sufficient didnt need explain felt joy angry scared walking home night worried sometimes didnt know fate would meet looked like couldnt see couldnt see meant seen whether would arrive home without incident live fear another day
7,7.0,0.9847,"us, understanding, knowing, reactions, selfawareness, experience, go, let, verbalization, often",often hand tension others without understanding wasnt begin someone passed us pass next person next lands hands someone tools process let go us open inner work points giant web humanity harm able spread selfawareness needed stop causing others harm knowing inner mechanics trauma moments projecting reactions impact perceptions also taking time understand society encoded minds without explicit permission
8,8.0,0.9833,"form, always, many, song, mind, another, moment, lose, father, would",moment always matter much appeared changed—how illustrious education altered appearance—i still best two people fractured mind inside emerged whenever crossed threshold fathers house night called didnt answer left stayed mirror decisions made moment ones would made choices changed person new self could call selfhood many things transformation metamorphosis falsity betrayal call education
9,9.0,0.9911,"things, time, humility, cultivate, life, way, powerups, bank, people, word",books became commerically successful instance bank called inform would longer charged atm fees even used atm different bank people money bank get kinds perks money bank much bigger powerups like graduatingfromcollegewithnodebtpowerup beingwhitepowerup beingmalepowerup doesnt mean people good powerups succeed course without wont dont buy argument structural powerups irrelevant fact political social economic systems biased favor already rich already powerful single greatest failure american democratic ideal benefited directly profoundly entire life almost every time ive driven question box life ive given least red turtle shell happens routinely easy us benefit powerups see fair dont grapple reality owe much success injustice ill hoarding wealth opportunity
